category,protocol_name,num_forks,total_tvl,tvl_orig,tvl_forks,forks_names
CEX,Binance CEX,0,59159708160.97337,59159708160.97337,0,[]
CEX,OKX,0,10156261305.588415,10156261305.588415,0,[]
CEX,Bitfinex,0,8850820210.793688,8850820210.793688,0,[]
CEX,Crypto-com,0,3262167263.632705,3262167263.632705,0,[]
CEX,Bybit,0,2998871399.166801,2998871399.166801,0,[]
CEX,Huobi,0,2995918157.604725,2995918157.604725,0,[]
CEX,Kucoin,0,2550872845.0795693,2550872845.0795693,0,[]
CEX,Deribit,0,1775891080.7738717,1775891080.7738717,0,[]
CEX,Bitget,0,1575108493.8297613,1575108493.8297613,0,[]
CEX,Gate-io,0,1559840112.1264858,1559840112.1264858,0,[]
CEX,MEXC,0,1015322719.671451,1015322719.671451,0,[]
CEX,Bitmex,0,785896720.0777825,785896720.0777825,0,[]
CEX,SwissBorg,0,545974214.1311564,545974214.1311564,0,[]
CEX,MaskEX,0,367157816.4850288,367157816.4850288,0,[]
CEX,Korbit,0,357078228.92707205,357078228.92707205,0,[]
CEX,Nexo,0,277643166.72202843,277643166.72202843,0,[]
CEX,Phemex,0,132218134.56650308,132218134.56650308,0,[]
CEX,Firi,0,111617533.81437622,111617533.81437622,0,[]
CEX,Cake DeFi,0,97147158.82090312,97147158.82090312,0,[]
CEX,WOO X,0,92621249.586595,92621249.586595,0,[]
CEX,CoinDCX,0,56603212.56424549,56603212.56424549,0,[]
CEX,Coinsquare,0,43785757.760517456,43785757.760517456,0,[]
CEX,Hotbit,0,15993831.286598416,15993831.286598416,0,[]
CEX,NBX,0,13183361.219073534,13183361.219073534,0,[]
CEX,Latoken,0,9291458.882888485,9291458.882888485,0,[]
CEX,BitVenus,0,1442002.9778590635,1442002.9778590635,0,[]
Liquid Staking,Lido,1,13451748406.046812,13356252260.083488,95496145.96332309,['OKC Liquid Staking']
Liquid Staking,Coinbase Wrapped Staked ETH,0,2112753525.7321825,2112753525.7321825,0,[]
Liquid Staking,Rocket Pool,0,1809938846.5413527,1809938846.5413527,0,[]
Liquid Staking,Frax Ether,0,436622693.9780308,436622693.9780308,0,[]
Liquid Staking,StakeWise,0,174493918.49956912,174493918.49956912,0,[]
Liquid Staking,Parallel Liquid Crowdloan,0,144838635.32678804,144838635.32678804,0,[]
Liquid Staking,Ankr,0,143446859.7895451,143446859.7895451,0,[]
Liquid Staking,Binance staked ETH,0,132017849.69320697,132017849.69320697,0,[]
Liquid Staking,Acala LCDOT,0,120580798.75136766,120580798.75136766,0,[]
Liquid Staking,StakeHound,0,120366116.68401198,120366116.68401198,0,[]
Liquid Staking,Marinade Finance,0,107054746.4830857,107054746.4830857,0,[]
Liquid Staking,Stader,0,96041504.64580628,96041504.64580628,0,[]
Liquid Staking,Benqi Staked Avax,0,94791878.54089598,94791878.54089598,0,[]
Liquid Staking,Kava Liquid,0,58814801.81431047,58814801.81431047,0,[]
Liquid Staking,CRETH2,0,46351808.10917032,46351808.10917032,0,[]
Liquid Staking,Swell,0,37298402.08086108,37298402.08086108,0,[]
Liquid Staking,Stride,0,34265871.34628733,34265871.34628733,0,[]
Liquid Staking,ether.fi,0,32381535.55676621,32381535.55676621,0,[]
Liquid Staking,Stafi,0,29502230.29625549,29502230.29625549,0,[]
Liquid Staking,SharedStake,0,29456792.81584595,29456792.81584595,0,[]
Liquid Staking,Algo Liquid Governance,0,28641820.80899949,28641820.80899949,0,[]
Liquid Staking,KLAYstation,0,27213485.21,27213485.21,0,[]
Liquid Staking,Bifrost Liquid Staking,0,23508239.626087338,23508239.626087338,0,[]
Liquid Staking,NeoBurger,0,17543783.542383417,17543783.542383417,0,[]
Liquid Staking,ExinPool,0,17008057.33,17008057.33,0,[]
Liquid Staking,Stake.ly,0,15371614.833177336,15371614.833177336,0,[]
Liquid Staking,sICX,0,13730184.372092178,13730184.372092178,0,[]
Liquid Staking,LiNEAR Protocol,0,13624056.273254128,13624056.273254128,0,[]
Liquid Staking,Meta Pool,0,13214960.274195312,13214960.274195312,0,[]
Liquid Staking,Bifrost Liquid Crowdloan,0,13073653.941264365,13073653.941264365,0,[]
Liquid Staking,GETH,0,12103886.0851707,12103886.0851707,0,[]
Liquid Staking,NodeDAO,0,11219838.9551056,11219838.9551056,0,[]
Liquid Staking,Acala Liquid-Staking,0,10591285.887497952,10591285.887497952,0,[]
Liquid Staking,JPool,0,8113748.646523328,8113748.646523328,0,[]
Liquid Staking,Algem,0,8043736.695654295,8043736.695654295,0,[]
Liquid Staking,pSTAKE Finance,0,7548758.135481162,7548758.135481162,0,[]
Liquid Staking,Parallel Liquid Staking,0,7386556.522884851,7386556.522884851,0,[]
Liquid Staking,Nucleon,0,7139533.521224926,7139533.521224926,0,[]
Liquid Staking,NEOPIN Staking,0,6089380.927151139,6089380.927151139,0,[]
Liquid Staking,Veno Finance,0,5687990.980385941,5687990.980385941,0,[]
Liquid Staking,GLIF Pools Infinity Pool,0,5496940.327408637,5496940.327408637,0,[]
Liquid Staking,Karura Liquid-Staking,0,5160583.625972394,5160583.625972394,0,[]
Liquid Staking,Tortuga,0,5086096.609482817,5086096.609482817,0,[]
Liquid Staking,stake.link liquid,0,4891687.763785088,4891687.763785088,0,[]
Liquid Staking,uniETH,0,4007528.253548184,4007528.253548184,0,[]
Liquid Staking,STFIL,0,3749104.6108382223,3749104.6108382223,0,[]
Liquid Staking,SFT Protocol,0,3309363.1098121624,3309363.1098121624,0,[]
Liquid Staking,Eris Protocol,0,3006372.502207009,3006372.502207009,0,[]
Liquid Staking,Tranchess Ether,0,2971456.2039235104,2971456.2039235104,0,[]
Liquid Staking,stCELO,0,2707653.618731704,2707653.618731704,0,[]
Liquid Staking,ClayStack,0,2648282.3873044704,2648282.3873044704,0,[]
Liquid Staking,Hord,0,2477421.9869996407,2477421.9869996407,0,[]
Liquid Staking,sTLOS Liquid Staking,0,2396221.416607902,2396221.416607902,0,[]
Liquid Staking,Quicksilver Protocol,0,2219531.662249882,2219531.662249882,0,[]
Liquid Staking,stkd-SCRT,0,2052914.657971871,2052914.657971871,0,[]
Liquid Staking,IFPool,0,1665574.3198119253,1665574.3198119253,0,[]
Liquid Staking,Socean,0,1531567.373194045,1531567.373194045,0,[]
Liquid Staking,Stakehouse,0,1313541.139329071,1313541.139329071,0,[]
Liquid Staking,NF3 APE,0,1182063.703794045,1182063.703794045,0,[]
Liquid Staking,sKCS,0,1139677.505317909,1139677.505317909,0,[]
Liquid Staking,Tenderize,0,1113850.153407734,1113850.153407734,0,[]
Liquid Staking,Ditto,0,812297.118989052,812297.118989052,0,[]
Liquid Staking,PepeTeam sWAVES,0,659610.0641158704,659610.0641158704,0,[]
Liquid Staking,BlazeStake,0,658397.9161708822,658397.9161708822,0,[]
Liquid Staking,ThunderPOKT,0,649296.9807989908,649296.9807989908,0,[]
Liquid Staking,Yield Yak Staked Avax,0,612472.4426137027,612472.4426137027,0,[]
Liquid Staking,sCANTO,0,513026.3824345655,513026.3824345655,0,[]
Liquid Staking,Avely Staking,0,510319.8115266584,510319.8115266584,0,[]
Liquid Staking,Increment Liquid Staking,0,258980.0193733305,258980.0193733305,0,[]
Liquid Staking,WYND LSD,0,257908.25007909225,257908.25007909225,0,[]
Liquid Staking,StakeEasy,0,118452.61331747189,118452.61331747189,0,[]
Liquid Staking,SteakBank Finance,0,117265.3102131952,117265.3102131952,0,[]
