category,total_tvl,total_tvl_forks,percent_tvl_forks,num_protocols,num_protocols_forks,percent_protocols_forks,avg_tvl,avg_tvl_forks
Liquid Staking,20139241425.806927,103700854.17207372,0.0051491936552877735,86,4,0.046511627906976744,234177225.8814759,25925213.54301843
CDP,9390846017.215397,133016454.49948327,0.0141644804158897,91,26,0.2857142857142857,103196110.07929008,5116017.480749357
Bridge,11365994158.56681,185992900.70973417,0.016363979966464003,41,2,0.04878048780487805,277219369.7211417,92996450.35486709
Dexes,15551081548.966726,3797696401.2161536,0.24420786356615096,830,511,0.6156626506024097,18736242.830080394,7431891.196117718
Lending,14186542065.09554,1725124488.0456147,0.12160288815483077,246,111,0.45121951219512196,57668870.1833152,15541662.054464998
Yield,4940326794.591304,52816811.61822126,0.01069095503480567,355,31,0.08732394366197183,13916413.505890997,1703768.116716815
Services,2230761045.5712347,0.129848445437639,5.820813739572384e-11,49,1,0.02040816326530612,45525735.623902746,0.129848445437639
Derivatives,1428379260.4654243,42800135.34849367,0.029964125448410418,118,37,0.3135593220338983,12104908.986995121,1156760.4148241533
Yield Aggregator,1231155263.3906164,27702927.663042177,0.022501571074592153,88,27,0.3068181818181818,13990400.720347913,1026034.357890451
Cross Chain,591048100.6021112,72039702.7138042,0.12188467003009751,20,1,0.05,29552405.03010556,72039702.7138042
Synthetics,611734144.8837372,8971583.242899355,0.014665820631288195,30,4,0.13333333333333333,20391138.16279124,2242895.8107248386
Indexes,604148575.4561692,142749.50264956825,0.0002362821141170177,41,3,0.07317073170731707,14735331.108687054,47583.16754985609
Privacy,299342435.7501132,78978.740072,0.00026384077444312085,12,3,0.25,24945202.9791761,26326.246690666667
Insurance,335196528.99134403,479491.0992804265,0.0014304775193325725,21,1,0.047619047619047616,15961739.475778287,479491.0992804265
Launchpad,566047707.4946929,422254.7818590844,0.0007459703065099744,20,1,0.05,28302385.374734648,422254.7818590844
Liquidity manager,362920844.382778,1207688.0381600538,0.003327689927025209,23,1,0.043478260869565216,15779167.147077303,1207688.0381600538
Algo-Stables,320666003.7715597,692153.3286105348,0.002158486775865458,45,19,0.4222222222222222,7125911.194923549,36429.1225584492
Payments,227580510.7136866,0.0,0.0,11,0,0.0,20689137.33760787,
RWA,460298541.2025721,0.0,0.0,19,0,0.0,24226239.01066169,
NFT Marketplace,152376895.07892713,0.0,0.0,15,0,0.0,10158459.671928475,
NFT Lending,302227052.55258274,650633.9424203747,0.0021527984901589,21,1,0.047619047619047616,14391764.407265846,650633.9424203747
Leveraged Farming,160554550.41418254,6312629.711305153,0.03931766303116581,14,1,0.07142857142857142,11468182.172441611,6312629.711305153
Options,120721010.08000006,48612.06287441484,0.00040268104816386423,37,1,0.02702702702702703,3262730.0021621636,48612.06287441484
Options Vault,46587927.35157936,176737.4221535266,0.0037936313590378064,14,1,0.07142857142857142,3327709.096541383,176737.4221535266
Staking Pool,30330587.228536915,0.0,0.0,12,0,0.0,2527548.9357114094,
Prediction Market,22338015.619254705,0.0,0.0,21,0,0.0,1063715.0294883193,
Uncollateralized Lending,13090562.80916679,140598.28658415208,0.010740430998558504,7,1,0.14285714285714285,1870080.4013095417,140598.28658415208
Reserve Currency,7782814.164107432,6253.140546528742,0.0008034549476160954,52,43,0.8269230769230769,149669.50315591216,145.42187317508703
Farm,20484462.901351694,5305507.988939764,0.2590015669187828,62,30,0.4838709677419355,330394.56292502733,176850.26629799214
RWA Lending,2533617.151321993,0.0,0.0,3,0,0.0,844539.0504406644,
Gaming,2303394.6351556927,0.0,0.0,10,0,0.0,230339.46351556928,
Oracle,1.0236026240000001e-08,0.0,0.0,1,0,0.0,1.0236026240000001e-08,
