category,name,forkedFrom,tvl,chain
Liquid Staking,Lido,,13877151667.116684,Multi-Chain
CDP,MakerDAO,,6180068714.322531,Ethereum
Bridge,WBTC,,4747116486.779925,Multi-Chain
Dexes,Curve DEX,,3763570272.8883677,Multi-Chain
Lending,JustLend,,3740713890.4812326,Tron
Lending,AAVE V2,,3699510069.467769,Multi-Chain
Bridge,JustCryptos,,3568286285.0,Tron
Yield,Convex Finance,,3009968774.997301,Multi-Chain
Dexes,Uniswap V3,,2776984331.813077,Multi-Chain
Liquid Staking,Coinbase Wrapped Staked ETH,,2120634771.3852718,Ethereum
Services,Instadapp,,1995045990.195347,Ethereum
Lending,AAVE V3,,1829226693.5667603,Multi-Chain
Liquid Staking,Rocket Pool,,1804195617.9948385,Ethereum
Lending,Compound,,1331959325.2877507,Ethereum
Bridge,Multichain,,1330665961.137271,Multi-Chain
CDP,JustStables,,1268148075.7787921,Tron
Dexes,PancakeSwap AMM,['Uniswap V2'],1242035384.3165858,Multi-Chain
Dexes,Uniswap V2,,1162776208.712848,Ethereum
Dexes,Balancer V2,,917750602.3691518,Multi-Chain
CDP,Liquity,,733603097.1925176,Ethereum
Lending,Venus,['Compound'],675434068.02793,Binance
Derivatives,GMX,,627228903.5346156,Multi-Chain
Yield,Aura,,524607734.90196925,Multi-Chain
Lending,Compound V3,,524183514.0885064,Multi-Chain
Yield Aggregator,Yearn Finance,,444709068.288529,Multi-Chain
Liquid Staking,Frax Ether,,429678770.87056494,Ethereum
Cross Chain,Stargate,,408399442.0431004,Multi-Chain
Synthetics,Synthetix,,382661273.5639944,Multi-Chain
Dexes,SUNSwap V1,,371432656.124331,Tron
Bridge,Portal,,369644621.48,Multi-Chain
Derivatives,dYdX,,357145380.21393114,Ethereum
Dexes,SushiSwap,['Uniswap V2'],351479324.9780933,Multi-Chain
Lending,Morpho Aave,,306331081.3036967,Ethereum
Indexes,Bwatch,,298002153.15,Mixin
Dexes,PancakeSwap AMM V3,['Uniswap V3'],289841352.3008568,Multi-Chain
Dexes,PulseX V1,,284975355.57785296,Pulse
Privacy,Tornado Cash,,276788214.26812243,Multi-Chain
Bridge,Poly Network,,272356462.7,Multi-Chain
Bridge,hBTC,,270340639.72292393,Ethereum
Insurance,Nexus Mutual,,269668855.4126234,Ethereum
Yield Aggregator,Beefy,,253673163.73999998,Multi-Chain
Lending,Radiant V2,['Aave'],248373030.9941501,Multi-Chain
CDP,Abracadabra,,229513221.05989838,Multi-Chain
Launchpad,UniCrypt,,221758047.9093843,Multi-Chain
CDP,Lybra Finance,,213239223.5636907,Ethereum
Yield,Coinwind,,212445196.2439015,Multi-Chain
Liquidity manager,Arrakis V1,,195496132.2708166,Multi-Chain
Dexes,Velodrome,['Solidly'],186780982.66119623,Optimism
Algo-Stables,Frax,,186092206.42864943,Ethereum
Launchpad,PinkSale,,183872136.96834674,Multi-Chain
Bridge,Synapse,['Saddle Finance'],181864353.88578856,Multi-Chain
Liquid Staking,StakeWise,,176759442.3624516,Multi-Chain
Payments,Lightning Network,,164360750.61136216,Bitcoin
Dexes,Chainge Finance,,164154400.32622352,Fusion
Liquid Staking,Parallel Liquid Crowdloan,,148764584.67473543,Multi-Chain
Dexes,VVS Finance,['Uniswap V2'],148081054.5575781,Cronos
Liquid Staking,Ankr,,139344554.78156158,Multi-Chain
Dexes,DefiChain DEX,,135982472.3781908,DefiChain
Liquid Staking,Binance staked ETH,,132977159.1654386,Multi-Chain
Lending,Fraxlend,,131486445.29711327,Ethereum
RWA,Ondo Finance,,130131021.38609268,Ethereum
NFT Marketplace,Blur Bids,,128049296.8539847,Ethereum
Yield,Conic Finance,,127646086.73215614,Ethereum
Lending,Benqi Lending,['Compound'],127253099.82103088,Avalanche
Dexes,SUNSwap V2,,126148600.13039611,Tron
Bridge,Orbit Bridge,,125230226.0803859,Multi-Chain
Dexes,Osmosis DEX,,124129572.60146,Osmosis
Liquid Staking,Acala LCDOT,,123957061.11640595,Acala
Lending,Tectonic,['Compound'],123499171.39096399,Cronos
Liquid Staking,StakeHound,,121208194.39081681,Ethereum
Dexes,Balancer V1,,119870252.9511916,Ethereum
Bridge,cBridge,,117972108.48256718,Multi-Chain
Yield,Pendle,,116328618.72204632,Multi-Chain
Lending,Kava Lend,,115469811.9535548,Kava
Dexes,BiSwap,['Uniswap V2'],113772076.39693804,Binance
