category,protocol_name,total_tvl,tvl_orig,tvl_forks,market_share,forks_names
Liquid Staking,Lido,14883619820.929558,14793685120.268856,89934700.6607009,68.96037256441019,['OKC Liquid Staking']
CDP,MakerDAO,5263133627.52025,5249703648.739287,13429978.780962698,59.71164009676795,"['Helio Protocol', 'Davos Protocol']"
Lending,AAVE V2,4201163009.468223,3750367775.9759226,450795233.4923005,28.256298335050754,"['Radiant V2', 'UwU Lend', 'Spark', 'Agave', 'Granary Finance', 'RealT RMM Marketplace', 'KlayBank', 'Moola Market', 'Valas Finance', 'SiO2 Finance', 'Klap', 'Starlay Finance', 'Goledo', 'Pinjam Labs', 'Radiant V1', 'Geist Finance', 'Omnidex Lend', 'Reax Lending', 'Roe Finance', 'MonoLend', 'MahaLend', 'Sculptor Finance', 'Tropykus zkEVM', 'WaterLoan', 'Omni Protocol', 'SSAP', 'Toreus']"
Dexes,Uniswap V2,3880649998.6664886,1218051803.22971,2662598195.4367785,26.554191378766184,"['PancakeSwap AMM', 'SushiSwap', 'VVS Finance', 'BiSwap V2', 'Katana DEX', 'Frax Swap', 'Quickswap Dex', 'Camelot V2', 'MDEX', 'Trader Joe DEX', 'SmarDex', 'BabyDogeSwap', 'ShibaSwap', 'SpookySwap', 'MojitoSwap', 'OKCSwap', 'SaucerSwap', 'Swappi', 'ApeSwap AMM', 'Pangolin', 'Dfyn Network', 'ArthSwap', 'SpaceFi', 'VanSwap', 'Mimo', 'MM Finance Cronos', 'DOOAR', 'KnightSwap Finance', 'Orion Protocol', 'UltronSwap', 'Kaidex', 'Honeyswap', 'Crystalvale', 'VoltSwap V2', 'Nomiswap', 'Pangea Swap', 'Verse', 'BenSwap', 'eZKalibur', 'BakerySwap', 'FLRX', 'NetSwap', 'SharkSwap', 'HeliSwap', 'Arbswap AMM', 'Defi Kingdoms', 'XSwap Protocol', 'BabySwap', 'Trisolaris', 'RadioShack', 'WigoSwap', 'NEOPIN Pool', 'YokaiSwap', 'SpiritSwap AMM', 'CherrySwap', 'Ubeswap', 'Yoshi Exchange', 'Defi Swap', 'ClaimSwap V1', 'Unicly', 'Tealswap', 'Daytona Finance', 'BSCSwap', 'Swapr', 'FX Swap', 'Titano Swych', 'FstSwap', 'Moon Swap', 'Arbitrum Exchange V2', 'Solarbeam', 'Bitindi Dex', 'MM Finance Polygon', 'EmpireDEX', 'ArcherSwap', 'Elk', 'Voltage', 'SaitaSwap', 'YuzuSwap', 'TangoSwap', 'HiveSwap', 'WagyuSwap', 'NiiFi', 'IcecreamSwap', 'LFGSwap Core', 'Lif3 Swap', 'Fusion Dex', 'Sphynx', 'Glide Finance', 'ShadowSwap', 'Paraluni Dex', 'Tethys AMM', 'Alita Finance', 'Noah Swap', 'Crodex', 'Vexchange', 'Swapsicle', 'KuSwap', 'EchoDEX', 'MiaSwap', 'OreoSwap', 'DogeSwapOrg', 'BurgerSwap', 'LFGSwap Arbitrum', 'OolongSwap', 'MistSwap', 'RCPswap', 'Cometh', 'LuaSwap', 'Polycat Dex', 'JulSwap', 'MM Finance Arbitrum', 'Intercroneswap', 'AstroSwap', 'Globiance', 'JSwap', 'Convergence', 'KSwap Finance', 'JetSwap', 'Coinswap Space', 'ThetaSwap', 'CronaSwap', 'Soy Finance', 'Levinswap', 'BXH', 'W3swap', 'Zenlink AMM', 'WardenSwap', 'PinkSwap', 'Energiswap', 'CarbonSwap', 'SatoshiCoreSwap', 'GIBXSwap', 'Pippi', 'KibbleSwap', 'Dinosaur Eggs', 'HyperJump', 'Fathom Dex', 'KyotoSwap', 'VeRocket', 'BeamSwap Classic', 'Gin Finance', 'AutoShark', 'PantherSwap', 'Narwhalswap', 'VoltSwap', 'PureSwap', 'OccamX', 'Lizard', 'Phenix DEX', 'AuroraSwap', 'Uswap', 'ClaimSwap V2', 'BAO Swap', 'LaserSwap', 'YouSwap', 'Bored Candy City', 'HebeSwap', 'Gravity Finance', 'StarSwap', 'HurricaneSwap', 'Oracle Swap', 'Nearpad', 'WannaSwap', 'WinerySwap', 'PegaSys V2', 'Polydex', 'PhotonSwap Finance', 'PadSwap', 'Zyberswap AMM', 'Lydia', 'Varen', 'GemKeeper', 'ZipSwap', 'MilkySwap', 'Onsen Swap', 'BecoSwap', 'Starmaker', 'Yodeswap', 'OpenXswap', 'Standard Protocol', 'ZYXSwap', 'TTswap', 'SoulSwap', 'Muffin', 'Shinobi', 'MiniSwap', 'CafeSwap', 'Firebird', 'HunnySwap', 'Diffusion Finance', 'Complus Network', 'ChickenSwap', 'SmartDEX', 'Huckleberry AMM', 'Baguette', 'MIND Games', '0.exchange', 'ButterSwap', 'Capricorn Finance', 'FusionX V2', 'LeetSwap', 'SwapFish', 'Crow Finance', 'LFGSwap EthereumPoW', 'ViperSwap', 'OmniDex Swap', 'Solarflare', 'MemeDex', 'YetiSwap', 'EvmoSwap', 'KwikSwap', 'Paint Swap', 'MochiSwap', 'BoneSwap Bonerium', 'Alphadex', 'SumSwap', 'CGX Finance', 'RskSwap', 'Kapinus', 'Zappy', 'UniWswap AMM', 'LatteSwap', 'CapitalDEX', 'Kebab Finance', 'EmiSwap', 'HakuSwap', 'Forteswap', 'KACO Finance', 'Tropical Finance', 'Magician MV', 'Pls2e', 'AmpleSwap', 'DuneSwap', 'DuckyDeFi', 'HSwap', 'PolkaEx', 'WingSwap', 'Gravis Finance', 'CyborgSwap', 'VeniceSwap', 'Redemption', 'Doge Shrek', 'CantoSwap', 'ShibShift', 'ThorusFi', 'Subzero ZSwap', 'Morpheus Swap', 'Ladex Exchange', 'FairySwap V1', 'SonicSwap', 'CobraSwap', 'Hpdex', 'LeonicornSwap', 'SashimiSwap', 'ProtoFi', 'Hydradex V2', 'KokomoSwap', 'SwapperChan', 'RocketSwap', 'PolyDEX-Cryption Network', 'SeaDex', 'Excalibur', 'Neutroswap', 'Yapeswap', 'PonySwap', 'LootSwap', 'OrbitalSwap', 'zkMoonSwap', 'Forge SX Trade', 'WhaleSwap', 'FlashLiquidity', 'Astar Exchange V2', 'Alium Swap', 'PartySwap', 'FairySwap V2', 'ZooCoin', 'MyTrade', 'YieldFields', 'Clever Protocol', 'Heraswap', 'TiFi', 'Moonbase Alpha', 'Wojak Finance', '1BCH', 'SafeSwap', 'Fuzz Finance', 'Sharky Swap', 'ArbiSwap', 'OpenSwap', 'Cronus Finance', 'BossSwap', 'SugarSwap', 'Versa Finance', 'CorgiSwap', 'CowSwap smartBCH', 'KryptoDex', 'Alligator', 'Surfswap Classic', 'onAVAX', 'GoSwap', 'PoWSwap', 'SWAPP', 'Shibance', 'Neuronswap', 'Shiba Fantom', 'CryptoSwap', 'Degen Haus', 'Energyfi', 'OortSwap', 'DogMoney', 'SMBSwap V2', 'Bitgert Swap', 'BarnSwap', 'casinocronos', 'HopSwap', 'Moonswap', 'zkSwap Era', 'ETCswap', 'DynastySwap', 'ProtossDex', 'zkEVMSwap', 'EmberSwap', 'DogeMuskSwap', 'Dino.Exchange', 'VultureSwap', '1Beam', 'Bourbon Defi', 'QuasarSwap', 'Elephantdex', 'PowerSwap', 'Frogge.Finance', 'Oni Exchange', 'FATExFi', 'ScarySwap', 'InfiniTORR', 'AGS Finance', 'FunBeast', 'SmolSwap', 'Dove Swap V2', 'IFSwap', 'Oaswap', 'FreeRiver', 'SweetSwap', 'Brise Swap', 'BaptSwap', 'TendieSwap', 'HonkSwap', 'Genesis Finance', 'SwapMatic', 'EOSWAP Finance', 'WraithSwap', 'OpenBiSea', 'ZenithSwap', 'Defily Dex', 'CoreSwap', 'BrightSide', 'Palma Swap', 'AuraSwap', 'DarkSwap', 'TrainSwap', 'DefySwap', 'PYEswap', 'HipPoWSwap', 'Juggler Red', 'SkullSwap V2', 'PowSea', 'Stronghands', 'ZukeSwap', 'MoonLift', 'ChampagneSwap', 'ko.one', 'MetaSwap', 'ElonSwap', 'Sahara Exchange', 'AfraSwap', 'Solana Farm', 'Pandora Swap', 'Jupiter Swap', 'JLSwap', 'Jujube Finance', 'Inuswap', 'Frog Swap', 'Adena Finance', 'EggTartSwap', 'VampireSwap', 'Kasava Dex', 'KekSwap', 'PanKUKU', 'CakeWSwap', 'Dogium Farm', 'KefirSwap', 'ApexSwap', 'Moraswap', '1Pulse', 'Astarnova', 'Philetairus Socius', 'zkDefi', 'SeaLightSwap', 'NowSwap', 'Selfex', 'AstroFi', 'OctoPow Finance', 'KSwap', 'KapaSwap', 'EthwSwap', 'Zircon Gamma', 'sevenswap', 'Omax Swap', 'StableDoin']"
Dexes,Curve DEX,3141732951.1560884,3141721234.177356,11716.978732407955,21.497990819744746,['Konverter']
Dexes,Uniswap V3,2949420642.64046,2588250956.4057674,361169686.2346924,20.18205203460021,"['PancakeSwap AMM V3', 'BiSwap V3', 'SushiSwap V3', 'Ramses V2', 'Arbitrum Exchange V3', 'Maia V3', 'HorizonDEX', 'Hydradex V3', 'Forge', 'PegaSys V3', 'Agni.finance', 'Dove Swap V3', 'BeamSwap V3', 'MM Finance Arbitrum V3', 'WAGMI', 'FusionX V3', 'DerpDEX', 'SMBSwap V3', 'Astar Exchange V3', 'Kyborg Exchange']"
Yield,Convex Finance,2934738120.1685824,2894294485.5627275,40443634.60585477,61.51976357930283,"['Equilibria', 'Quoll', 'Muuu Finance']"
Lending,Compound,2564911870.055178,1314183721.5101578,1250728148.5450206,17.25115517775775,"['Venus', 'Benqi Lending', 'Tectonic', 'Sonne Finance', 'Flux Finance', 'Moonwell Artemis', 'Iron Bank', 'Liqee', 'EraLend', 'Torches', 'Strike', 'Canto Lending', 'Lodestar Finance', 'FilDA', 'Trader Joe Lend', 'Mare Finance V2', 'WePiggy', 'LineaBank', 'Onyx Protocol', 'ApeSwap Lending', 'Tender Finance', 'ReactorFusion', 'Bastion', 'WanLend', 'Moonwell Apollo', 'Channels Finance', 'Aurigami', '0vix', 'CREAM Lending', 'Tropykus RSK', 'Mesher', 'Starfish Finance', 'Lenen', 'Mimas Finance', 'Tonpound', 'Hector Lending', 'Ram Protocol', 'SpiritSwap Lending', 'Tranquil Finance', 'xBank Finance', 'LendeXe Finance', 'Percent Finance', 'Neku', 'unFederalReserve', 'Demeter', 'Ape Finance', 'Tashi', 'Market', 'Hundred Finance', 'ABEL Finance', 'USDFI Lending', 'Whitehole Finance', 'Fountain Protocol', 'Orbiter One', 'wefi', 'Rikkei Finance', 'forlend', 'CashCow Finance', 'SwirlLend', 'Paribus', 'KLend', 'Huckleberry Lending', 'Qubit', 'Agora', 'Coslend', 'Scream', 'OCP Finance', 'Vee Finance', 'LendHub', 'Brainiac Finance', 'Atlantis Loans', 'Agile Finance', 'Fortress Loans', 'Chee Finance', 'Quickswap Lend', 'Fenrir Finance', 'L2FINANCE', 'Bitlend', 'Bodh Finance', 'MilkyWay', 'EcoDeFi', 'PaperDAO', 'Mare Finance V1', 'Sohei']"
Liquid Staking,Coinbase Wrapped Staked ETH,2276662671.049452,2276662671.049452,0.0,10.548475968076025,[]
Lending,AAVE V3,2057969447.396613,2057923143.0078185,46304.38879464157,13.841547814022778,"['ZeroLend', 'Kinza Finance']"
Liquid Staking,Rocket Pool,1879832491.2523272,1879832491.2523272,0.0,8.709840113837814,[]
CDP,Liquity,1261864324.902213,752493400.0204875,509370924.88172567,14.316183808354596,"['Lybra Finance', 'Raft', 'Gravita Protocol', 'Vesta Finance', 'Yeti Finance', 'DeFi Franc', 'Ethos Reserve', 'FLRLoans', 'xDollar', 'PolyQuity', 'TopShelf', 'MahaDAO Arth', 'Teddy Cash', 'Fluity', 'Stabilize', 'Piggy', 'Aquarius', 'Defi Halal', 'Real Protocol']"
Dexes,Balancer V2,933979108.0873188,907597454.420269,26381653.667049773,6.390955120519094,"['PHUX', 'Reax Swaps']"
